scope,id,BASE,MANDATORY_STRESS,difference
summary,undiscounted_cost_mln,12494.99075,13104.37075,609.3799999999992
summary,discounted_cost_mln,11089.31244563265,11603.88870043144,514.5762547987906
summary,cost_per_served_ton_mln,9.435653190088845,10.05769406410217,0.6220408740133259
summary,discounted_cost_per_served_ton_mln,8.374148364497639,8.906063841549319,0.5319154770516796
summary,total_service_level,0.9526846522781776,0.8493611473272491,-0.10332350495092846
summary,critical_service_level,0.9789035087719299,0.9808121908409126,0.0019086820689827588
summary,total_shortage_t,65.76833333333333,231.07999999999987,165.31166666666655
summary,critical_shortage_t,20.04166666666667,20.04166666666667,0.0
summary,total_losses_t,16.330000000000002,15.855,-0.4750000000000014
summary,emergency_usage_t,0,0,0
summary,final_inventory_t,17.79666666666671,0.0,-17.79666666666671
summary,violation_count,10,13,3
summary,hard_violation_count,10,6,-4
annual,2035,"{""base_total_service"": 0.7162500000000003, ""base_critical_service"": 0.7494791666666668, ""base_shortage_t"": 28.375000000000004, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 0.9000000000000001}","{""stress_total_service"": 0.7162500000000003, ""stress_critical_service"": 0.7494791666666668, ""stress_shortage_t"": 28.375000000000004, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 0.9000000000000001}",
annual,2036,"{""base_total_service"": 0.8468571428571429, ""base_critical_service"": 1.0, ""base_shortage_t"": 21.439999999999984, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 1.4400000000000004}","{""stress_total_service"": 0.8468571428571429, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 21.439999999999984, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 1.4400000000000004}",
annual,2037,"{""base_total_service"": 0.9403333333333331, ""base_critical_service"": 1.0, ""base_shortage_t"": 11.336666666666682, ""base_closing_inventory_t"": 0.0, ""base_losses_t"": 2.1700000000000004}","{""stress_total_service"": 0.9403333333333331, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 11.336666666666682, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 2.1700000000000004}",
annual,2038,"{""base_total_service"": 0.9815333333333331, ""base_critical_service"": 1.0, ""base_shortage_t"": 4.616666666666667, ""base_closing_inventory_t"": 21.376666666666715, ""base_losses_t"": 3.240000000000001}","{""stress_total_service"": 0.8634260869565216, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 39.26499999999997, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 3.0149999999999997}",
annual,2039,"{""base_total_service"": 1.0000000000000002, ""base_critical_service"": 1.0, ""base_shortage_t"": 0.0, ""base_closing_inventory_t"": 29.063333333333393, ""base_losses_t"": 3.9799999999999995}","{""stress_total_service"": 0.8345199275362318, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 60.89666666666665, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 3.7299999999999995}",
annual,2040,"{""base_total_service"": 1.0000000000000002, ""base_critical_service"": 1.0, ""base_shortage_t"": 0.0, ""base_closing_inventory_t"": 17.79666666666671, ""base_losses_t"": 4.6000000000000005}","{""stress_total_service"": 0.8444444444444446, ""stress_critical_service"": 1.0, ""stress_shortage_t"": 69.7666666666666, ""stress_closing_inventory_t"": 0.0, ""stress_losses_t"": 4.6000000000000005}",
