source_id,source_name,year,reserved_capacity_t_per_year,active_fraction,requested_order_t,feasible_order_t,unfulfilled_request_t,planned_delivery_t,gross_delivery_t,risk_underdelivery_t,delayed_delivery_t,initial_stock_requested_t,initial_stock_feasible_t,initial_stock_gross_delivery_t,initial_stock_losses_t,initial_stock_opening_inventory_t,payable_volume_t,utilization,active_variable_price_mln_per_t,procurement_cost_mln,reservation_cost_mln,take_or_pay_effect_mln,initial_stock_procurement_cost_mln,initial_stock_reservation_cost_mln,reliability_profile,reliability_semantics,violations
A,Earth-Core,2035,120.0,1.0,120.0,120.0,0.0,0,0,0.0,0,62.8272251309,62.8272251309,62.8272251309,2.8272251308904996,60.0000000000095,182.8272251309,0.0,6.200000000000002,1133.5287958115803,82.35000000000002,0.0,389.5287958115801,28.35000000000001,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,2036,150.0,1.0,150.0,150.0,0.0,120.0,120.0,0.0,0,0.0,0.0,0.0,0.0,0.0,150.0,0.6315789473684209,6.200000000000002,930.0000000000003,67.50000000000001,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,2037,160.0,1.0,160.0,160.0,0.0,150.0,150.0,160.0,0,0.0,0.0,0.0,0.0,0.0,160.0,0.7894736842105262,6.200000000000002,992.0000000000003,72.00000000000001,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,2038,170.0,1.0,170.0,170.0,0.0,160.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,6.200000000000002,1054.0000000000002,76.50000000000001,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,2039,180.0,1.0,180.0,180.0,0.0,170.0,170.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.0,0.894736842105263,6.200000000000002,1116.0000000000005,81.00000000000003,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
A,Earth-Core,2040,0,1.0,0.0,0.0,0.0,180.0,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526314,6.200000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.96,METADATA_ONLY,[]
B,Earth-Flex,2035,90.0,1.0,90.0,90.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.0,0.5454545454545454,8.900000000000002,801.0000000000002,13.499999999999996,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,2036,5.0,1.0,5.0,5.0,0.0,33.33333333333333,33.33333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.3030303030303029,8.900000000000002,44.500000000000014,0.7499999999999998,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,2037,0,1.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01515151515151515,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,2038,0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,2039,0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
B,Earth-Flex,2040,0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900000000000002,0.0,0.0,0.0,0.0,0.0,constant:0.985,METADATA_ONLY,[]
C,Earth-New,2035,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.099999999999999,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,2036,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.099999999999999,0.0,0.0,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,2037,60.0,0.9166666666666666,47.99999999960001,47.99999999960001,0.0,47.99999999960001,47.99999999960001,0.0,0,0.0,0.0,0.0,0.0,0.0,47.99999999960001,0.4027972027938463,7.099999999999999,340.79999999716,16.499999999999996,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,2038,60.0,1.0,60.0,60.0,0.0,60.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60.0,0.4615384615384616,7.099999999999999,425.99999999999994,17.999999999999996,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,2039,80.0,1.0,80.00000000040001,80.0,4.00007138523506e-10,80.0,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,80.00000000040001,0.6153846153846155,7.099999999999999,568.0000000028399,23.999999999999993,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
C,Earth-New,2040,100.0,1.0,99.99999999960004,99.99999999960004,0.0,99.99999999960004,99.99999999960004,0.0,0,0.0,0.0,0.0,0.0,0.0,99.99999999960004,0.7692307692276927,7.099999999999999,709.9999999971601,29.999999999999993,0.0,0.0,0.0,first_operating_year:0.88;later:0.94,METADATA_ONLY,[]
D,Lunar-ISRU,2035,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2038:0.78;2039:0.90;2040:0.93,METADATA_ONLY,[]
